"filename", "language", "JSON", "JavaScript", "vue", "CSS", "Markdown", "JSON with Comments", "HTML", "comment", "blank", "total"
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\src\functions\findCompanies.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\src\functions\order.js", "JavaScript", 0, 152, 0, 0, 0, 0, 0, 0, 2, 154
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\src\functions\validatingData.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\src\locales\en.json", "JSON", 34, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\src\locales\pl.json", "JSON", 34, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\src\main.css", "CSS", 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\src\main.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 0, 5, 57
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\src\pages\FindBus.vue", "vue", 0, 0, 38, 0, 0, 0, 0, 0, 3, 41
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\src\pages\Home.vue", "vue", 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\src\pages\Login.vue", "vue", 0, 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\src\pages\Order.vue", "vue", 0, 0, 67, 0, 0, 0, 0, 0, 2, 69
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\src\pages\OwnTickets.vue", "vue", 0, 0, 88, 0, 0, 0, 0, 0, 2, 90
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\src\router.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 2, 38
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\src\store\changeCalendarLanguageStore.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\src\store\companiesStore.js", "JavaScript", 0, 76, 0, 0, 0, 0, 0, 1, 4, 81
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\src\store\findBusStore.js", "JavaScript", 0, 87, 0, 0, 0, 0, 0, 1, 4, 92
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\src\store\messageStore.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 2, 35
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\src\store\orderStore.js", "JavaScript", 0, 69, 0, 0, 0, 0, 0, 0, 2, 71
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\src\store\scheduleStore.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 0, 6, 72
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\tailwind.config.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 1, 2, 20
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\frontend\vite.config.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 1, 3, 17
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\package-lock.json", "JSON", 2510, 0, 0, 0, 0, 0, 0, 0, 1, 2511
"c:\Users\paste\Desktop\privateProjects\apps\bus-plan-db\package.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"Total", "-", 12929, 1127, 766, 11, 43, 8, 18, 47, 161, 15110
